,,Timothy M. Kaine,Hung Cao,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
Precinct,112 - Knollwood Meadows,1735,1291,2,3028
Precinct,113 - Sanford,522,522,1,1045
Precinct,201 - Bland,370,142,1,513
Precinct,202 - Boulevard,889,839,3,1731
Precinct,203 - Charles,1648,1422,3,3073
Precinct,204 - Mariners' Museum,789,456,2,1247
Precinct,205 - Deep Creek,1129,1288,0,2417
Precinct,208 - Hidenwood,696,759,1,1456
Precinct,211 - Palmer,1506,758,4,2268
Precinct,212 - Riverside,581,612,1,1194
Precinct,216 - Yates,1294,884,2,2180
Precinct,217 - Riverview,1044,975,3,2022
Precinct,218 - Kiln Creek,2210,1238,4,3452
Precinct,219 - Deer Park,2012,755,4,2771
Precinct,220 -Jenkins,1488,887,3,2378
Precinct,302 - Briarfield,1038,287,3,1328
Precinct,303 - Carver,702,240,2,944
Precinct,304 - Chestnut,566,47,4,617
Precinct,305 - Downtown,336,98,1,435
Precinct,308 - Jefferson,485,32,1,518
Precinct,309 - Magruder,583,52,0,635
Precinct,310 - Marshall,713,53,0,766
Precinct,311 - Newmarket,1468,439,4,1911
Precinct,312 - Newsome Park,392,31,2,425
Precinct,313 - Reed,1169,62,0,1231
