,,Timothy M. Kaine,Hung Cao,Write-Ins,Total Votes Cast
,,Democratic,Republican,,
State,Virginia,2417115,2019911,8509,4445535
Locality,Accomack County,7672,9339,26,17037
Precinct,101 - Chincoteague,831,1340,4,2175
Precinct,201 - Atlantic,222,532,1,755
Precinct,202 - Greenbackville,397,928,2,1327
Precinct,301 - New Church,892,717,4,1613
Precinct,401 - Bloxom,223,464,2,689
Precinct,402 - Parksley,284,478,0,762
Precinct,403 - Saxis,53,165,1,219
Precinct,501 - Mappsville,414,279,2,695
Precinct,502 - Rue,441,146,0,587
Precinct,601 - Accomac,638,832,1,1471
Precinct,602 - Tangier,42,189,0,231
Precinct,701 - Nandua,1035,1116,1,2152
Precinct,801 - Bobtown,257,465,1,723
Precinct,802 - Melfa,476,403,1,880
Precinct,803 - Wachapreague,192,392,2,586
Precinct,901 - Painter,1161,756,2,1919
Precinct,Provisional,114,137,2,253
Locality,Albemarle County,43968,21912,76,65956
Precinct,101 - Woodbrook,1558,727,3,2288
Precinct,103 - Branchlands,613,236,1,850
Precinct,104 - Agnor-hurt,1344,442,3,1789
Precinct,105 - Dunlora,2313,654,3,2970
Precinct,106 - Northside,1388,916,1,2305
Precinct,201 - Jack Jouett,1882,956,0,2838
Precinct,202 - University,1142,274,3,1419
Precinct,203 - Georgetown,1693,474,3,2170
Precinct,301 - Ivy,2338,1004,4,3346
Precinct,302 - Red Hill,1589,935,3,2527
Precinct,304 - East Ivy,593,304,0,897
Precinct,305 - Country Green,1765,666,5,2436
Precinct,306 - Porters,762,492,2,1256
Precinct,307 - Yellow Mountain,640,414,0,1054
Precinct,401 - Scottsville,672,729,1,1402
Precinct,402 - Monticello,584,636,1,1221
Precinct,405 - Mountain View,2599,763,8,3370
Precinct,406 - Stone Robinson,1608,1278,3,2889
Precinct,407 - Biscuit Run,1174,373,1,1548
Precinct,501 - Keswick,709,513,1,1223
Precinct,502 - Stony Point,744,577,0,1321
Precinct,503 - Hollymead,1668,764,3,2435
Precinct,504 - Free Bridge,1304,446,2,1752
Precinct,506 - Baker-butler,2479,1394,9,3882
Precinct,507 - Pantops,1255,550,2,1807
Precinct,601 - Crozet,1988,1132,1,3121
Precinct,602 - Free Union,645,542,1,1188
Precinct,603 - Earlysville,1596,1151,4,2751
Precinct,604 - Brownsville,1757,941,1,2699
Precinct,606 - Mechums River,2243,1006,4,3253
Precinct,ALBEMARLE COUNTY PROVISIONALS,1323,623,3,1949
Locality,Alexandria City,62597,17175,222,79994
Precinct,101 - Old Town North,2233,678,3,2914
Precinct,102 - City Hall,1691,777,5,2473
Precinct,103 - Lyles Crouch School,2162,780,9,2951
Precinct,104 - Durant Center,1913,511,8,2432
Precinct,105 - Lee Center,1733,498,3,2234
Precinct,106 - Cora Kelly,2517,495,9,3021
Precinct,107 - Mt Vernon Recreation Center,3065,531,13,3609
Precinct,108 - George Washington Middle Sch,2928,571,9,3508
Precinct,109 - Fire Department Headquarters,1668,492,4,2164
Precinct,110 - Charles Houston Center,2707,594,7,3308
Precinct,111 - Potomac Yard,1215,320,7,1542
Precinct,201 - Naomi L. Brooks School,1861,395,2,2258
Precinct,202 - George Mason School,1852,690,3,2545
Precinct,203 - Charles Barrett Center,1828,476,6,2310
Precinct,204 - Blessed Sacrament Church,1964,565,4,2533
Precinct,205 - Douglas Macarthur School,2357,735,8,3100
Precinct,206 - Alexandria City High School,1894,568,7,2469
Precinct,207 - Temple Beth El Synagogue,2320,761,6,3087
Precinct,208 - Nova Arts Center,1575,428,7,2010
Precinct,209 - James K Polk School,2242,573,7,2822
Precinct,210 - F.t. Day School,1287,347,10,1644
Precinct,211 - Alex Renew,2151,537,10,2698
Precinct,212 - The View Alexandria,1029,283,0,1312
Precinct,302 - Patrick Henry Rec Center,1624,393,9,2026
Precinct,303 - Charles E Beatley Library,1611,359,3,1973
Precinct,304 - Tucker School,1886,494,4,2384
Precinct,305 - John Adams School,1361,360,11,1732
Precinct,306 - William Ramsay School,1406,392,6,1804
Precinct,307 - Tucker West,1832,535,5,2372
Precinct,308 - Cameron Station Community Ctr,2260,718,9,2987
Precinct,309 - Olympus Condo,1259,300,7,1566
Precinct,310 - Del Pepper Center,1095,320,7,1422
Precinct,ALEXANDRIA CITY PROVISIONALS,2071,699,14,2784
Locality,Alleghany County,2786,5358,13,8157
Precinct,101 - Arritt,235,643,0,878
Precinct,103 - Dameron,75,225,0,300
Precinct,201 - Humpback Bridge,140,352,4,496
Precinct,202 - Dolly Ann,240,479,0,719
Precinct,301 - Callaghan,97,355,1,453
Precinct,302 - Griffith,199,526,0,725
Precinct,401 - Low Moor,189,344,0,533
Precinct,402 - Jackson Heights,267,496,1,764
Precinct,501 - Iron Gate,89,173,0,262
Precinct,502 - Peters Switch,262,707,2,971
Precinct,601 - District 1,465,533,0,998
Precinct,701 - District 2,472,445,5,922
Precinct,Provisional,56,80,0,136
Locality,Amelia County,2314,5600,6,7920
Precinct,101 - Number 1,380,958,0,1338
Precinct,201 - Number 2,489,1104,2,1595
Precinct,301 - Number 3,417,1182,1,1600
Precinct,401 - Number 4,471,1194,3,1668
Precinct,501 - Number 5,515,1093,0,1608
Precinct,AMELIA COUNTY PROVISIONALS,42,69,0,111
Locality,Amherst County,5790,11414,20,17224
Precinct,101 - Wright Shop,568,537,0,1105
Precinct,102 - New Glasgow,487,1067,1,1555
Precinct,103 - Coolwell,168,537,1,706
Precinct,201 - Court House,943,1415,3,2361
Precinct,202 - Temperance,229,720,1,950
Precinct,301 - Monroe,315,644,0,959
Precinct,302 - Elon,624,1835,2,2461
Precinct,303 - Pleasant View,172,462,2,636
Precinct,401 - Amelon,813,1678,3,2494
Precinct,402 - Lonco,282,560,3,845
Precinct,501 - Madison,1124,1829,3,2956
Precinct,AMHERST COUNTY PROVISIONALS,65,130,1,196
Locality,Appomattox County,2562,6923,10,9495
Precinct,101 - Vera,147,514,0,661
Precinct,102 - Pamplin,345,853,1,1199
Precinct,201 - Chap,148,249,0,397
Precinct,202 - Spout Spring,315,1214,2,1531
Precinct,301 - Us 460,199,730,0,929
Precinct,302 - Stonewall,302,851,1,1154
Precinct,401 - Courthouse,534,1113,4,1651
Precinct,501 - Oakville,357,938,1,1296
Precinct,502 - Agee,184,369,1,554
Precinct,APPOMATTOX COUNTY PROVISIONALS,31,92,0,123
Locality,Arlington County,100725,27269,365,128359
Precinct,101 - Precinct 101,1453,443,6,1902
Precinct,102 - Precinct 102,2125,456,6,2587
Precinct,103 - Precinct 103,1155,416,2,1573
Precinct,104 - Precinct 104,2258,574,8,2840
Precinct,105 - Precinct 105,1844,423,2,2269
Precinct,106 - Precinct 106,1670,466,6,2142
Precinct,107 - Precinct 107,2061,503,6,2570
Precinct,108 - Precinct 108,2162,665,8,2835
Precinct,109 - Precinct 109,2342,593,12,2947
Precinct,110 - Precinct 110,2590,706,6,3302
Precinct,111 - Precinct 111,1426,418,2,1846
Precinct,112 - Precinct 112,1810,442,2,2254
Precinct,113 - Precinct 113,1222,398,7,1627
Precinct,114 - Precinct 114,1489,375,5,1869
Precinct,115 - Precinct 115,1070,276,9,1355
Precinct,116 - Precinct 116,2311,609,11,2931
Precinct,117 - Precinct 117,2226,529,4,2759
Precinct,118 - Precinct 118,3397,871,10,4278
Precinct,119 - Precinct 119,2661,772,12,3445
Precinct,120 - Precinct 120,1936,597,2,2535
Precinct,121 - Precinct 121,963,309,3,1275
Precinct,122 - Precinct 122,1964,447,4,2415
Precinct,123 - Precinct 123,1953,442,3,2398
Precinct,124 - Precinct 124,2588,626,12,3226
Precinct,125 - Precinct 125,1871,448,5,2324
Precinct,126 - Precinct 126,2071,471,6,2548
Precinct,127 - Precinct 127,2061,531,7,2599
Precinct,128 - Precinct 128,2200,508,17,2725
Precinct,129 - Precinct 129,2019,451,3,2473
Precinct,130 - Precinct 130,1840,405,11,2256
Precinct,131 - Precinct 131,2039,484,3,2526
Precinct,132 - Precinct 132,720,257,5,982
Precinct,133 - Precinct 133,1898,730,4,2632
Precinct,134 - Precinct 134,1785,487,3,2275
Precinct,135 - Precinct 135,1980,831,2,2813
Precinct,136 - Precinct 136,2085,552,1,2638
Precinct,137 - Precinct 137,1809,506,2,2317
Precinct,138 - Precinct 138,1562,380,10,1952
Precinct,139 - Precinct 139,1164,267,5,1436
Precinct,140 - Precinct 140,2576,711,7,3294
Precinct,141 - Precinct 141,2160,554,6,2720
Precinct,142 - Precinct 142,1602,365,3,1970
Precinct,143 - Precinct 143,1242,362,9,1613
Precinct,144 - Precinct 144,1391,355,8,1754
Precinct,145 - Precinct 145,1499,384,12,1895
Precinct,146 - Precinct 146,2377,669,11,3057
Precinct,147 - Precinct 147,1443,322,11,1776
Precinct,148 - Precinct 148,1526,509,4,2039
Precinct,149 - Precinct 149,1534,402,3,1939
Precinct,150 - Precinct 150,1834,474,10,2318
Precinct,151 - Precinct 151,517,119,2,638
Precinct,152 - Precinct 152,1267,391,11,1669
Precinct,153 - Precinct 153,1844,525,4,2373
Precinct,154 - Precinct 154,914,196,3,1113
Precinct,PROVISIONALS,3219,1267,29,4515
Locality,Augusta County,12517,31605,61,44183
Precinct,101 - Jolivue,453,759,0,1212
Precinct,102 - Stuarts Draft Elementary,262,431,1,694
Precinct,103 - Verona,510,1160,1,1671
Precinct,104 - Wilson,646,1038,4,1688
Precinct,201 - Crimora,617,1943,4,2564
Precinct,202 - New Hope,285,981,2,1268
Precinct,203 - Weyers Cave,643,1498,4,2145
Precinct,301 - Fort Defiance,486,1151,2,1639
Precinct,302 - North River,295,1012,2,1309
Precinct,303 - Mount Solon,206,984,0,1190
Precinct,304 - Rolla,743,1451,2,2196
Precinct,401 - Buffalo Gap,338,1040,3,1381
Precinct,402 - Churchville Elementary,418,1300,3,1721
Precinct,403 - Craigsville,153,709,0,862
Precinct,404 - Deerfield,79,327,0,406
Precinct,405 - Cedar Green,552,1123,1,1676
Precinct,501 - Greenville,446,1480,0,1926
Precinct,502 - Middlebrook,196,565,1,762
Precinct,503 - Spottswood,210,851,1,1062
Precinct,504 - White Hill,642,1905,6,2553
Precinct,601 - Sherando,371,1136,2,1509
Precinct,602 - Ridgeview,520,1663,7,2190
Precinct,603 - Lyndhurst,360,822,1,1183
Precinct,604 - Mount Vernon,536,1175,5,1716
Precinct,801 - Dooms,425,1165,1,1591
Precinct,802 - Fishersville,1148,1879,4,3031
Precinct,803 - Ladd,315,621,0,936
Precinct,804 - Goose Creek,429,867,2,1298
Precinct,AUGUSTA COUNTY PROVISIONALS,233,569,2,804
Locality,Bath County,684,1881,1,2566
Precinct,101 - Warm Springs,142,306,1,449
Precinct,102 - Mountain Grove,18,53,0,71
Precinct,201 - Hot Springs,141,278,0,419
Precinct,301 - Fairview,74,338,0,412
Precinct,302 - Burnsville,21,66,0,87
Precinct,401 - Millboro,119,428,0,547
Precinct,501 - Healing Springs,156,374,0,530
Precinct,BATH COUNTY PROVISIONALS,13,38,0,51
Locality,Bedford County,13068,37536,52,50656
Precinct,101 - Goodview Elem School,520,1608,1,2129
Precinct,102 - Hardy Vol Fire Co,233,677,2,912
Precinct,103 - Chamblissburg Baptist Church,345,1135,0,1480
Precinct,104 - Barnhardt Baptist Church,283,930,2,1215
Precinct,105 - Diamond Hill Baptist Church,216,825,0,1041
Precinct,201 - Bedford Christian Church,187,548,2,737
Precinct,202 - Staunton River High School,310,1029,0,1339
Precinct,203 - Eastlake Community Church,544,1540,1,2085
Precinct,204 - Huddleston Elementary School,237,1018,2,1257
Precinct,205 - Saunders Vol Fire Co,508,1290,1,1799
Precinct,301 - New London Academy,496,1813,4,2313
Precinct,302 - Bedford County Gym,457,1346,5,1808
Precinct,303 - Forest Alliance Church,240,791,1,1032
Precinct,304 - 1 In Christ Church,209,661,0,870
Precinct,305 - Forest Fire Station #2,312,1024,2,1338
Precinct,401 - Forest Elementary School,695,1955,3,2653
Precinct,402 - Thomas Jefferson Elem School,556,1516,3,2075
Precinct,403 - Pleasant View Baptist Church,588,1374,3,1965
Precinct,404 - Forest Recreation Center,257,577,2,836
Precinct,501 - Big Island Elementary School,266,947,2,1215
Precinct,502 - Suck Spring Baptist Church,250,775,2,1027
Precinct,503 - Boonsboro Elementary School,737,1278,2,2017
Precinct,504 - Boonsboro Ruritan Club,847,2451,2,3300
Precinct,601 - Montvale Elem School,366,1123,2,1491
Precinct,602 - Shady Grove Fire Department,358,1439,2,1799
Precinct,603 - Bedford Moose Lodge,245,755,0,1000
Precinct,604 - Bedford Welcome Center,686,1276,5,1967
Precinct,701 - Goode Vol Rescue Squad,495,1805,0,2300
Precinct,702 - Liberty High School,336,977,0,1313
Precinct,703 - Thaxton Baptist Church,248,843,0,1091
Precinct,704 - Bedford Central Library,725,1192,0,1917
Precinct,705 - Mountain View Church,136,364,1,501
Precinct,Provisionals,180,654,0,834
Locality,Bland County,709,2707,2,3418
Precinct,101 - Bastian,69,321,0,390
Precinct,102 - Ceres,108,375,0,483
Precinct,201 - Davis,35,115,0,150
Precinct,202 - Seddon,169,549,1,719
Precinct,301 - Hollybrook,69,401,1,471
Precinct,302 - Mechanicsburg,52,240,0,292
Precinct,401 - Rocky Gap,199,689,0,888
Precinct,BLAND COUNTY PROVISIONALS,8,17,0,25
Locality,Botetourt County,6608,14950,24,21582
Precinct,101 - Daleville,992,1796,3,2791
Precinct,102 - Greenfield,627,1422,4,2053
Precinct,201 - Blue Ridge,615,1518,1,2134
Precinct,202 - Rainbow Forest,620,1540,2,2162
Precinct,301 - Buchanan,523,1344,5,1872
Precinct,302 - Mill Creek,610,1445,2,2057
Precinct,403 - Eagle Rock,365,968,0,1333
Precinct,406 - Fincastle,857,2014,3,2874
Precinct,501 - Troutville,380,888,0,1268
Precinct,502 - Cloverdale,935,1839,4,2778
Precinct,BOTETOURT COUNTY PROVISIONALS,84,176,0,260
Locality,Bristol City,2629,4699,4,7332
Precinct,001 - 1st,503,925,0,1428
Precinct,002 - 2nd,698,997,1,1696
Precinct,003 - 3rd,545,623,1,1169
Precinct,004 - 4th,565,1330,0,1895
Precinct,005 - 5th,267,739,1,1007
Precinct,BRISTOL CITY PROVISIONALS,51,85,1,137
Locality,Brunswick County,4324,3372,6,7702
Precinct,101 - Brodnax,207,160,0,367
Precinct,102 - Rock Store,244,367,2,613
Precinct,103 - Tillman,277,501,0,778
Precinct,201 - Dromgoole,112,121,0,233
Precinct,202 - Edgerton,498,181,2,681
Precinct,203 - Fitzhugh,350,250,0,600
Precinct,301 - Alberta,82,66,0,148
Precinct,302 - Danieltown,311,406,0,717
Precinct,303 - Elmore,178,191,1,370
Precinct,304 - Seymour,157,176,0,333
Precinct,401 - Sturgeon,636,467,1,1104
Precinct,402 - King's Store,250,106,0,356
Precinct,501 - Totaro,959,337,0,1296
Precinct,BRUNSWICK COUNTY PROVISIONALS,63,43,0,106
Locality,Buchanan County,2331,6686,16,9033
Precinct,102 - Blackey,66,306,2,374
Precinct,103 - Hurley,178,740,1,919
Precinct,201 - Grassy,28,87,0,115
Precinct,202 - Bull,161,385,1,547
Precinct,203 - Rocklick,161,464,3,628
Precinct,301 - Slate,160,583,1,744
Precinct,302 - North Grundy,162,459,1,622
Precinct,403 - South Grundy,202,462,0,664
Precinct,404 - Oakwood,17,59,0,76
Precinct,405 - Grundy,92,266,0,358
Precinct,501 - Prater,139,416,1,556
Precinct,502 - Fox,66,99,1,166
Precinct,503 - Vansant,177,380,1,558
Precinct,601 - Council,124,285,0,409
Precinct,602 - Garden,152,416,1,569
Precinct,603 - Hurricane,109,214,1,324
Precinct,701 - Whitewood,162,504,2,668
Precinct,702 - Contrary,130,445,0,575
Precinct,BUCHANAN COUNTY PROVISIONALS,45,116,0,161
Locality,Buckingham County,3242,4581,9,7832
Precinct,101 - New Canton,529,602,1,1132
Precinct,201 - White Hall,415,633,0,1048
Precinct,301 - Curdsville,249,487,1,737
Precinct,302 - New Store,147,293,1,441
Precinct,401 - Maysville,482,703,3,1188
Precinct,501 - Wrights,101,286,0,387
Precinct,502 - Glenmore,367,377,0,744
Precinct,601 - Slate River,231,403,1,635
Precinct,602 - Georgia Creek,330,290,1,621
Precinct,701 - Gold Hill,364,455,1,820
Precinct,BUCKINGHAM COUNTY PROVISIONALS,27,52,0,79
Locality,Buena Vista City,935,1881,3,2819
Precinct,001 - 1st Ward,475,1056,2,1533
Precinct,002 - 2nd Ward,414,747,1,1162
Precinct,BUENA VISTA CITY PROVISIONALS,46,78,0,124
Locality,Campbell County,8526,22449,39,31014
Precinct,101 - Brookville,638,1639,3,2280
Precinct,102 - New London,542,1676,1,2219
Precinct,201 - Walker,631,1413,1,2045
Precinct,202 - Bedford Springs,577,1677,9,2263
Precinct,301 - Evington,275,865,0,1140
Precinct,302 - Otter River,370,1125,1,1496
Precinct,303 - Altavista,693,877,1,1571
Precinct,401 - 3 Forks,370,1365,4,1739
Precinct,402 - Court House,762,2375,3,3140
Precinct,501 - Spring Hill,618,1805,3,2426
Precinct,502 - Yellow Branch,476,1207,0,1683
Precinct,601 - Kings,550,1246,2,1798
Precinct,602 - Concord,623,1782,2,2407
Precinct,701 - Brookneal,170,224,1,395
Precinct,702 - Gladys,786,1881,7,2674
Precinct,703 - Morris Church,276,772,0,1048
Precinct,CAMPBELL COUNTY PROVISIONALS,169,520,1,690
Locality,Caroline County,8249,9218,18,17485
Precinct,101 - Bowling Green,726,1159,0,1885
Precinct,102 - Sparta,411,748,0,1159
Precinct,201 - North Madison,669,490,1,1160
Precinct,202 - South Madison,1046,1140,1,2187
Precinct,301 - Port Royal,312,407,2,721
Precinct,302 - Woodford,599,894,1,1494
Precinct,303 - Wrights Chapel,111,191,1,303
Precinct,401 - Dawn,1182,966,0,2148
Precinct,402 - Carmel Church,394,308,2,704
Precinct,501 - West Mattaponi,809,574,6,1389
Precinct,502 - Milford,529,698,0,1227
Precinct,601 - Chilesburg,780,785,3,1568
Precinct,602 - Lake,520,663,1,1184
Precinct,CAROLINE COUNTY PROVISIONALS,161,195,0,356
Locality,Carroll County,3637,12318,14,15969
Precinct,101 - Mt Bethel,153,461,0,614
Precinct,102 - St Paul,196,701,0,897
Precinct,103 - Lambsburg,99,443,0,542
Precinct,105 - Fancy Gap,230,695,2,927
Precinct,201 - Hillsville B,497,1246,1,1744
Precinct,202 - Laurel Fork,170,507,0,677
Precinct,203 - Gladesboro,226,699,0,925
Precinct,301 - Hillsville C,471,1497,2,1970
Precinct,302 - Sylvatus,140,576,0,716
Precinct,303 - Dugspur,94,287,0,381
Precinct,401 - Oakland,309,1134,1,1444
Precinct,402 - Woodlawn D,347,1303,3,1653
Precinct,501 - Vaughan,79,391,3,473
Precinct,502 - Gladeville,262,1050,0,1312
Precinct,503 - Woodlawn E,151,525,2,678
Precinct,504 - Laurel,148,590,0,738
Precinct,CARROLL COUNTY PROVISIONALS,65,213,0,278
Locality,Charles City County,2397,1802,4,4203
Precinct,101 - Precinct 1-1,747,722,1,1470
Precinct,201 - Precinct 2-1,802,477,1,1280
Precinct,301 - Precinct 3-1,807,580,2,1389
Precinct,CHARLES CITY COUNTY PROVISIONALS,41,23,0,64
Locality,Charlotte County,2148,3815,3,5966
Precinct,101 - County Seat,350,575,1,926
Precinct,201 - Red Oak Wylliesburg,331,541,2,874
Precinct,302 - Drakes Branch,268,458,0,726
Precinct,401 - Keysville,288,509,0,797
Precinct,501 - Cullen/Red House,279,488,0,767
Precinct,602 - Phenix,259,684,0,943
Precinct,702 - Bacon/Saxe,328,514,0,842
Precinct,CHARLOTTE COUNTY PROVISIONALS,45,46,0,91
Locality,Charlottesville City,19439,3650,58,23147
Precinct,101 - Key Recreation,2803,413,9,3225
Precinct,102 - Clark,2384,405,9,2798
Precinct,201 - Carver,1707,222,4,1933
Precinct,202 - Venable,1265,277,4,1546
Precinct,301 - Jackson-Via,2264,397,8,2669
Precinct,302 - Johnson,1732,321,4,2057
Precinct,303 - Buford,1699,215,4,1918
Precinct,401 - Charlottesville High School,2592,547,7,3146
Precinct,402 - Walker,1693,378,1,2072
Precinct,CHARLOTTESVILLE CITY PROVISIONALS,1300,475,8,1783
Locality,Chesapeake City,67224,59657,149,127030
Precinct,001 - Great Bridge,899,1294,1,2194
Precinct,002 - Bethel,564,1661,1,2226
Precinct,003 - Camelot,1435,206,0,1641
Precinct,004 - Churchland,849,1220,3,2072
Precinct,005 - Crestwood,1424,261,0,1685
Precinct,006 - Deep Creek,1036,850,1,1887
Precinct,007 - Greenbrier,924,1104,2,2030
Precinct,008 - South Norfolk Recreation,1280,946,0,2226
Precinct,009 - Bells Mill,1151,2001,5,3157
Precinct,010 - Oscar Smith,568,435,2,1005
Precinct,011 - Geneva Park,692,787,3,1482
Precinct,012 - Georgetown,1414,220,0,1634
Precinct,013 - Gilmerton,910,906,3,1819
Precinct,014 - Grassfield,1606,1775,4,3385
Precinct,015 - Greenbrier Middle School,1542,852,0,2394
Precinct,016 - Hickory Grove,736,1662,5,2403
Precinct,017 - Indian Creek,473,1274,5,1752
Precinct,018 - Indian River,1038,543,2,1583
Precinct,019 - Jolliff,566,849,0,1415
Precinct,020 - E W Chittum,1110,1247,5,2362
Precinct,021 - Fellowship,1263,1080,2,2345
Precinct,022 - Norfolk Highlands,600,728,2,1330
Precinct,023 - Oak Grove,1349,985,2,2336
Precinct,024 - Oaklette,977,659,2,1638
Precinct,025 - St Julians,1089,531,2,1622
Precinct,026 - Johnson Park,580,292,2,874
Precinct,027 - Silverwood,1114,937,4,2055
Precinct,028 - Sunray I,184,227,0,411
Precinct,029 - Tanglewood,719,969,2,1690
Precinct,030 - South Norfolk,725,70,0,795
Precinct,031 - Carver School,1604,346,1,1951
Precinct,032 - Providence,1943,201,0,2144
Precinct,033 - Westover,474,618,3,1095
Precinct,034 - Hickory Middle School,1019,1993,6,3018
Precinct,035 - Taylor Road,920,400,2,1322
Precinct,036 - Great Bridge Baptist Church,853,1276,1,2130
Precinct,037 - Bridgetown,1124,1430,3,2557
Precinct,038 - Bailey Creek,688,1220,6,1914
Precinct,039 - Lake Drummond,801,871,0,1672
Precinct,041 - John T West,1881,1575,7,3463
Precinct,042 - Parkways,1236,657,2,1895
Precinct,043 - Pleasant Crossing,707,1342,3,2052
Precinct,044 - Nansemond,1181,671,2,1854
Precinct,045 - Sunray Ii,299,248,2,549
Precinct,046 - Bells Mill Ii,991,1026,2,2019
Precinct,048 - Jolliff Middle School,2126,345,4,2475
Precinct,049 - Waterway,1266,1037,2,2305
Precinct,050 - River Walk,1258,877,6,2141
Precinct,051 - Coopers Way,1375,2143,1,3519
Precinct,052 - Shipyard Road,1152,874,0,2026
Precinct,053 - Fairways,1196,959,3,2158
Precinct,054 - Pughsville,1316,533,5,1854
Precinct,055 - Georgetown East,1062,269,2,1333
Precinct,056 - Green Tree,1066,756,2,1824
Precinct,057 - Cypress,1201,704,4,1909
Precinct,058 - Expressway,528,235,1,764
Precinct,059 - Clearfield,1097,936,1,2034
Precinct,060 - Parker Road,914,1425,0,2339
Precinct,061 - Centerville,976,1844,2,2822
Precinct,062 - Fentress,827,1361,3,2191
Precinct,063 - Poplar Branch,503,1055,0,1558
Precinct,064 - Deep Creek Ii,1472,1081,3,2556
Precinct,065 - Waterway Ii,1223,1238,0,2461
Precinct,066 - Fairways Ii,672,422,3,1097
Precinct,Chesapeake City Provisionals,1456,1118,7,2581
Locality,Chesterfield County,115364,93336,279,208979
Precinct,101 - Bellwood,898,678,4,1580
Precinct,102 - South Chester,1304,1163,3,2470
Precinct,103 - Enon,2072,1971,6,4049
Precinct,104 - North Chester,1502,1619,6,3127
Precinct,105 - Drewrys Bluff,1083,557,4,1644
Precinct,106 - Harrowgate,2081,1473,0,3554
Precinct,108 - Ecoff,2096,2227,4,4327
Precinct,109 - Elizabeth Scott,2299,1869,13,4181
Precinct,110 - Dutch Gap,934,841,1,1776
Precinct,111 - Iron Bridge,1129,1288,1,2418
Precinct,112 - Carver,1248,977,5,2230
Precinct,113 - Iron Bridge North,1501,987,2,2490
Precinct,115 - Cresthill,1621,1171,9,2801
Precinct,201 - Gates,322,463,0,785
Precinct,202 - Beulah,2192,909,2,3103
Precinct,203 - Bird,1586,906,0,2492
Precinct,205 - Falling Creek,1801,675,3,2479
Precinct,207 - Chippenham,2540,700,3,3243
Precinct,208 - Meadowbrook,1929,649,1,2579
Precinct,209 - Salem Church,1460,1170,3,2633
Precinct,210 - Five Forks,2755,1169,3,3927
Precinct,211 - Nash,1913,2350,3,4266
Precinct,213 - Southside,1204,335,2,1541
Precinct,218 - New Manchester,783,509,10,1302
Precinct,219 - Gates East,681,562,3,1246
Precinct,220 - Falling Creek East,216,97,0,313
Precinct,221 - Oxbridge,1911,1366,9,3286
Precinct,222 - Turner,1588,397,4,1989
Precinct,301 - Ettrick,1708,641,5,2354
Precinct,303 - Matoaca,1694,1712,4,3410
Precinct,304 - Winfrees Store,769,1539,1,2309
Precinct,305 - Beach,317,771,1,1089
Precinct,306 - Winterpock,987,2381,3,3371
Precinct,307 - Cosby,1552,1373,2,2927
Precinct,309 - Skinquarter,1382,1568,4,2954
Precinct,313 - Woolridge South,1409,1403,1,2813
Precinct,314 - Longhouse,529,1194,2,1725
Precinct,315 - Bailey Bridge,1264,1981,5,3250
Precinct,316 - Spring Run,1375,1386,7,2768
Precinct,319 - Magnolia,2641,2992,3,5636
Precinct,320 - Dry Creek,2354,2354,2,4710
Precinct,321 - Claypoint,1168,996,5,2169
Precinct,322 - Hensley,1930,1966,2,3898
Precinct,401 - Harbour Pointe,955,817,2,1774
Precinct,402 - Genito,1422,1136,4,2562
Precinct,403 - Brandermill,1704,1320,4,3028
Precinct,404 - Providence,1558,932,3,2493
Precinct,405 - La Prade,1452,1199,7,2658
Precinct,408 - Reams,987,516,4,1507
Precinct,410 - Wagstaff,329,224,0,553
Precinct,411 - Swift Creek,1387,1211,3,2601
Precinct,412 - Clover Hill,1762,1636,2,3400
Precinct,413 - Shenandoah,1319,857,3,2179
Precinct,414 - Crenshaw,2191,2023,4,4218
Precinct,415 - Evergreen,1508,1250,4,2762
Precinct,418 - Woolridge North,1008,938,3,1949
Precinct,419 - North Courthouse,1072,674,1,1747
Precinct,420 - New Tomahawk,1408,1323,1,2732
Precinct,421 - Lucks Lane,2077,1895,4,3976
Precinct,422 - Otterdale,2304,1786,6,4096
Precinct,503 - Midlothian,1780,1652,8,3440
Precinct,504 - Robious,2314,2103,6,4423
Precinct,505 - Bon Air,1739,991,5,2735
Precinct,506 - Greenfield,1585,969,5,2559
Precinct,507 - Salisbury,1761,1928,3,3692
Precinct,508 - Belgrade,1621,1307,3,2931
Precinct,509 - Cranbeck,1085,633,2,1720
Precinct,510 - Sycamore,638,627,3,1268
Precinct,511 - Black Heath,937,900,1,1838
Precinct,513 - Beaufont,980,370,4,1354
Precinct,514 - Watkins,1748,1670,3,3421
Precinct,515 - Davis,1641,423,3,2067
Precinct,516 - Pocoshock North,599,249,2,850
Precinct,517 - Roseland,1204,1343,3,2550
Precinct,518 - Midlothian North,1693,1764,2,3459
Precinct,519 - Buford,175,67,0,242
Precinct,520 - Walton Park,916,804,5,1725
Precinct,521 - Rockaway,1969,1188,4,3161
Precinct,Chesterfield County Provisionals ,2808,1276,11,4095
Locality,Clarke County,4182,5487,8,9677
Precinct,101 - Russell,771,1259,2,2032
Precinct,201 - Berryville,885,900,3,1788
Precinct,301 - Millwood,674,842,0,1516
Precinct,302 - Pine Grove,278,350,0,628
Precinct,401 - White Post,765,1032,2,1799
Precinct,501 - Buckmarsh,532,717,0,1249
Precinct,502 - Blue Ridge,213,287,1,501
Precinct,CLARKE COUNTY PROVISIONALS,64,100,0,164
Locality,Colonial Heights City,3259,5456,5,8720
Precinct,001 - 1st,493,696,1,1190
Precinct,002 - 2nd,569,905,2,1476
Precinct,003 - 3rd,641,990,1,1632
