,,Ghazala F. Hashmi,"John J. Reid, II",Write-Ins,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,,
Precinct,602 - Precinct F-2,1388,326,8,1722,1722
Precinct,603 - Precinct F-3,381,114,0,495,495
Precinct,701 - Precinct G-1,1136,230,2,1368,1368
Precinct,702 - Precinct G-2,1026,310,0,1336,1336
Precinct,703 - Precinct G-3,1024,312,6,1342,1342
Locality,Nelson County,3715,3937,17,7669,7669
Precinct,101 - Rockfish,801,763,3,1567,1567
Precinct,201 - Lovingston,372,463,3,838,838
Precinct,202 - Schuyler,246,301,3,550,550
Precinct,301 - Shipman,474,616,1,1091,1091
Precinct,302 - Gladstone,55,113,0,168,168
Precinct,401 - Roseland,459,712,4,1175,1175
Precinct,402 - Montebello,48,72,0,120,120
Precinct,501 - Faber,317,262,1,580,580
Precinct,502 - Nellysford,943,635,2,1580,1580
Locality,New Kent County,4825,9037,16,13878,13878
Precinct,102 - Tunstall,198,779,1,978,978
Precinct,103 - Southern Branch,380,1023,2,1405,1405
Precinct,201 - Quinton,713,938,2,1653,1653
Precinct,202 - Kentwood,244,702,1,947,947
Precinct,301 - Watkins,1079,1371,4,2454,2454
Precinct,302 - Cumberland,370,722,3,1095,1095
Precinct,401 - Providence Forge,980,1274,2,2256,2256
Precinct,403 - Mountcastle,241,418,0,659,659
Precinct,501 - Eltham,288,724,0,1012,1012
Precinct,502 - Chickahominy River,332,1086,1,1419,1419
Locality,Newport News City,37645,18244,190,56079,56079
Precinct,101 - Denbigh,1405,447,9,1861,1861
Precinct,102 - Stoney Run,1509,370,8,1887,1887
Precinct,104 - Mcintosh,969,294,5,1268,1268
